nodelist,nsteps,backend,caware,order,precision,nnodes,nparts-per-node,etype,nelements,partition,gpu
# ac036,100,opencl,0,3,double,10,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 9,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 8,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 7,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 6,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 5,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 4,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 3,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 2,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 1,2,hex,32,gpu,h100
# ac036,100,opencl,0,3,double, 1,1,hex,32,gpu,h100
#ac036,100,  cuda,0,3,double,10,2,hex,32,gpu,h100
#ac036,100,  cuda,0,3,double, 9,2,hex,32,gpu,h100
#ac036,100,  cuda,0,3,double, 8,2,hex,32,gpu,h100
#ac036,100,  cuda,0,3,double, 7,2,hex,32,gpu,h100
#ac036,100,  cuda,0,3,double, 6,2,hex,32,gpu,h100
#ac036,100,  cuda,0,3,double, 5,2,hex,32,gpu,h100
#ac036,100,  cuda,0,3,double, 4,2,hex,32,gpu,h100
#ac036,100,  cuda,0,3,double, 3,2,hex,32,gpu,h100
# ac036,100,  cuda,0,3,double, 2,2,hex,32,gpu,h100
# ac036,100,  cuda,0,3,double, 1,2,hex,32,gpu,h100
# ac036,100,  cuda,0,3,double, 1,1,hex,32,gpu,h100
#ac036,100,  cuda,1,3,double,10,2,hex,32,gpu,h100
#ac036,100,  cuda,1,3,double, 9,2,hex,32,gpu,h100
#ac036,100,  cuda,1,3,double, 8,2,hex,32,gpu,h100
#ac036,100,  cuda,1,3,double, 7,2,hex,32,gpu,h100
#ac036,100,  cuda,1,3,double, 6,2,hex,32,gpu,h100
#ac036,100,  cuda,1,3,double, 5,2,hex,32,gpu,h100
#ac036,100,  cuda,1,3,double, 4,2,hex,32,gpu,h100
#ac036,100,  cuda,1,3,double, 3,2,hex,32,gpu,h100
# ac036,100,  cuda,1,3,double, 2,2,hex,32,gpu,h100
# ac036,100,  cuda,1,3,double, 1,2,hex,32,gpu,h100
# ac036,100,  cuda,1,3,double, 1,1,hex,32,gpu,h100

# ac036,100,opencl,0,3,double,10,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 9,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 8,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 7,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 6,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 5,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 4,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 3,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 2,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 1,2,hex,64,gpu,h100
# ac036,100,opencl,0,3,double, 1,1,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double,10,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 9,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 8,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 7,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 6,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 5,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 4,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 3,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 2,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 1,2,hex,64,gpu,h100
# ac036,100,  cuda,0,3,double, 1,1,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double,10,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 9,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 8,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 7,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 6,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 5,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 4,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 3,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 2,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 1,2,hex,64,gpu,h100
# ac036,100,  cuda,1,3,double, 1,1,hex,64,gpu,h100
# 
ac036,100,opencl,0,3,double,10,2,hex,96,gpu,h100
# ac036,100,opencl,0,3,double, 9,2,hex,96,gpu,h100
# ac036,100,opencl,0,3,double, 8,2,hex,96,gpu,h100
# ac036,100,opencl,0,3,double, 7,2,hex,96,gpu,h100
# ac036,100,opencl,0,3,double, 6,2,hex,96,gpu,h100
# ac036,100,opencl,0,3,double, 5,2,hex,96,gpu,h100
# ac036,100,opencl,0,3,double, 4,2,hex,96,gpu,h100
# ac036,100,opencl,0,3,double, 3,2,hex,96,gpu,h100
# ac036,100,opencl,0,3,double, 2,2,hex,96,gpu,h100
# ac036,100,opencl,0,3,double, 1,2,hex,96,gpu,h100
ac036,100,opencl,0,3,double, 1,1,hex,96,gpu,h100
ac036,100,  cuda,0,3,double,10,2,hex,96,gpu,h100
# ac036,100,  cuda,0,3,double, 9,2,hex,96,gpu,h100
# ac036,100,  cuda,0,3,double, 8,2,hex,96,gpu,h100
# ac036,100,  cuda,0,3,double, 7,2,hex,96,gpu,h100
# ac036,100,  cuda,0,3,double, 6,2,hex,96,gpu,h100
# ac036,100,  cuda,0,3,double, 5,2,hex,96,gpu,h100
# ac036,100,  cuda,0,3,double, 4,2,hex,96,gpu,h100
# ac036,100,  cuda,0,3,double, 3,2,hex,96,gpu,h100
# ac036,100,  cuda,0,3,double, 2,2,hex,96,gpu,h100
# ac036,100,  cuda,0,3,double, 1,2,hex,96,gpu,h100
ac036,100,  cuda,0,3,double, 1,1,hex,96,gpu,h100
ac036,100,  cuda,1,3,double,10,2,hex,96,gpu,h100
# ac036,100,  cuda,1,3,double, 9,2,hex,96,gpu,h100
# ac036,100,  cuda,1,3,double, 8,2,hex,96,gpu,h100
