directory,filename,prefix,partition,accelerator,nodelist,steps,backend,caware,order,precision,nodes,tasks,etype,elements,DoFs,mean-perf,mean-perf-per-GPU
solns/acesSinglepartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex40,degrees_of_freedom.dat,acesSingle,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,40,75928320,1308687470.359185,1308687470.359185
solns/acesSinglepartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex16,degrees_of_freedom.dat,acesSingle,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,16,4320000,1340319121.14019,1340319121.14019
solns/acesSinglepartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex8,degrees_of_freedom.dat,acesSingle,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,8,439040,257277859.061393,257277859.061393
solns/acesSinglepartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex48,degrees_of_freedom.dat,acesSingle,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,48,132893440,1127652510.718514,1127652510.718514
solns/acesSinglepartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex24,degrees_of_freedom.dat,acesSingle,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,24,15573760,1381272014.897985,1381272014.897985
solns/acesSinglepartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex32,degrees_of_freedom.dat,acesSingle,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,32,38132480,1203035743.274249,1203035743.274249
solns/acesSinglepartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex80,degrees_of_freedom.dat,acesSingle,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,80,631089920,1140718333.306642,1140718333.306642
solns/acesSinglepartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex64,degrees_of_freedom.dat,acesSingle,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,64,320060160,1317717559.83428,1317717559.83428
solns/acesSinglepartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex12,degrees_of_freedom.dat,acesSingle,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,12,1703680,799159933.48468,799159933.48468
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex32,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,32,38132480,1123578134.217565,1123578134.217565
