directory,filename,prefix,partition,accelerator,nodelist,steps,backend,caware,order,precision,nodes,tasks,etype,elements,DoFs,mean-perf,mean-perf-per-GPU
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex16,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,16,4320000.0,1485047763.095675,1485047763.095675
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex32,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,32,38132480.0,1646733371.782904,1646733371.782904
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex12,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,1.0,hex,12,1703680.0,1079933502.246683,1079933502.246683
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex8,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,1.0,hex,8,439040.0,434826726.590941,434826726.590941
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex16,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,1.0,hex,16,4320000.0,1408634002.802063,1408634002.802063
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex24,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,1.0,hex,24,15573760.0,1565692017.978304,1565692017.978304
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex64,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,64,320060160.0,1643626972.586477,1643626972.586477
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex48,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,48,132893440.0,1651946925.282919,1651946925.282919
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex48,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,1.0,hex,48,132893440.0,1625752976.375181,1625752976.375181
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex40,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,40,75928320.0,1653556752.217587,1653556752.217587
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex32,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,1.0,hex,32,38132480.0,1606943590.926904,1606943590.926904
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex80,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,80,631089920.0,1636163943.271758,1636163943.271758
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex24,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,24,15573760.0,1613495587.277404,1613495587.277404
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex12,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,12,1703680.0,1367391056.752909,1367391056.752909
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex40,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,1.0,hex,40,75928320.0,1616357723.238619,1616357723.238619
solns/spitfireSinglepartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex8,degrees_of_freedom.dat,spitfireSingle,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,8,439040.0,776693380.147499,776693380.147499
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,64,320060160.0,1643657695.916504,1643657695.916504
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks1_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,1.0,hex,32,38132480.0,1646827759.248924,1646827759.248924
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,1.0,hex,32,38132480.0,1606733519.512344,1606733519.512344
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks1_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,1.0,hex,64,320060160.0,1643661984.116712,1643661984.116712
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks1_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,1.0,hex,32,38132480.0,1645781119.564381,1645781119.564381
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks2_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,2.0,hex,64,320060160.0,2923555723.549289,1461777861.7746446
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks2_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,2.0,hex,32,38132480.0,2567641588.907004,1283820794.453502
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks2_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,2.0,hex,32,38132480.0,2451936833.030617,1225968416.5153086
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks2_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,2.0,hex,96,1097440000.0,2985478599.777238,1492739299.888619
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks2_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,2.0,hex,96,1097440000.0,3224349090.074049,1612174545.0370245
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks2_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,2.0,hex,64,320060160.0,2844090836.902306,1422045418.451153
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks2_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,2.0,hex,32,38132480.0,3173697112.575652,1586848556.287826
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks2_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,2.0,hex,64,320060160.0,3227075065.049093,1613537532.5245464
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks4_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,4.0,hex,128,2621930240.0,6435123795.945714,1608780948.9864285
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks4_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,4.0,hex,96,1097440000.0,6493585195.660438,1623396298.9151094
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks4_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,4.0,hex,128,2621930240.0,5541138880.78811,1385284720.1970274
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks4_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,4.0,hex,32,38132480.0,3483997174.32629,870999293.5815725
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks4_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,4.0,hex,96,1097440000.0,5149288761.216609,1287322190.3041523
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks4_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,4.0,hex,64,320060160.0,4529496446.146836,1132374111.536709
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks4_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,4.0,hex,32,38132480.0,5994989859.328449,1498747464.8321123
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks4_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,4.0,hex,32,38132480.0,3479160570.659013,869790142.6647532
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks4_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,4.0,hex,64,320060160.0,6475885258.42829,1618971314.6070726
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks4_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,4.0,hex,64,320060160.0,4773958354.077486,1193489588.5193715
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes2_tasks8_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,2,8.0,hex,32,38132480.0,3158443122.580983,394805390.3226229
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes2_tasks8_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,2,8.0,hex,128,2621930240.0,11071134849.34911,1383891856.1686387
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes2_tasks8_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,2,8.0,hex,96,1097440000.0,6165989423.075299,770748677.8844124
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes2_tasks8_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,2,8.0,hex,64,320060160.0,6544329578.197428,818041197.2746785
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes2_tasks8_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,2,8.0,hex,32,38132480.0,4395902554.347746,549487819.2934682
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes2_tasks8_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,2,8.0,hex,64,320060160.0,6319975087.572284,789996885.9465355
