backend,elements,DoFs,mean-perf
opencl,8,439040.0,434826726.590941
opencl,12,1703680.0,1079933502.246683
opencl,16,4320000.0,1408634002.802063
opencl,24,15573760.0,1565692017.978304
opencl,48,132893440.0,1625752976.375181
opencl,32,38132480.0,1606943590.926904
opencl,40,75928320.0,1616357723.238619
cuda,8,439040.0,776693380.147499
cuda,16,4320000.0,1485047763.095675
cuda,32,38132480.0,1646733371.782904
cuda,64,320060160.0,1643626972.586477
cuda,48,132893440.0,1651946925.282919
cuda,40,75928320.0,1653556752.217587
cuda,80,631089920.0,1636163943.271758
cuda,24,15573760.0,1613495587.277404
cuda,12,1703680.0,1367391056.752909
