backend,caware,nodes,tasks,elements,DoFs,mean-perf,mean-perf-per-GPU
cuda,0,1,1.0,48,132893440.0,1651955699.684592,1651955699.684592
cuda,0,1,2.0,60,262885120.0,2710789340.064665,1355394670.0323324
cuda,0,1,4.0,76,540000000.0,4842234255.100983,1210558563.7752457
cuda,0,2,8.0,96,1097440000.0,7743695406.209222,967961925.7761527
opencl,0,1,1.0,48,132893440.0,1624434798.75055,1624434798.75055
opencl,0,1,2.0,60,262885120.0,2877559577.319616,1438779788.659808
opencl,0,1,4.0,76,540000000.0,5101088039.661861,1275272009.9154654
opencl,0,2,8.0,96,1097440000.0,6065871055.085172,758233881.8856465
cuda,1,1,1.0,48,132893440.0,1651946911.574519,1651946911.574519
cuda,1,1,2.0,60,262885120.0,3271021053.093218,1635510526.546609
cuda,1,1,4.0,76,540000000.0,6351489433.019949,1587872358.2549872
cuda,1,2,8.0,96,1097440000.0,10005556312.650875,1250694539.0813594
